0.0 0 0 10
5.0 10.8778915663 83 5
10.0 9.2170519802 404 5
15.0 12.3013817035 317 5
20.0 10.0460744337 309 5
25.0 14.4605766017 359 5
30.0 9.19622413793 406 5
35.0 18.1945228426 394 5
40.0 15.8704950739 406 5
45.0 9.16965445026 382 5
50.0 14.2545481283 374 5
55.0 11.9900026455 378 5
60.0 9.84157441253 383 5
65.0 14.2266735294 340 5
70.0 9.20643944637 289 5
75.0 13.0767368421 190 5
80.0 14.6016980392 255 5
85.0 8.2204295302 298 5
90.0 10.3333867069 331 5
95.0 11.507678744 414 5
100.0 8.14777205882 408 5
105.0 12.1690323383 402 5
110.0 13.9986883117 385 5
115.0 14.9928086735 392 5
120.0 13.3087781955 266 5
125.0 13.5712053232 263 5
130.0 15.7125194805 308 5
135.0 8.151284689 418 5
140.0 8.59194897959 392 6
145.0 10.5272414634 410 6
150.0 8.8079 300 6
155.0 14.0543289037 301 6
160.0 15.7581601307 306 6
165.0 9.81758465608 378 6
170.0 13.0071913876 418 6
175.0 9.83088304094 513 6
180.0 13.9382345972 422 6
185.0 12.7063312102 471 6
190.0 11.6668253968 441 6
195.0 14.9490190476 420 6
200.0 12.3124464286 392 6
205.0 14.0862520325 369 6
210.0 15.2775878378 296 6
215.0 12.5640206186 388 6
220.0 13.3403405797 414 6
225.0 12.8144489796 441 6
230.0 15.578806383 470 6
235.0 13.6996289926 407 6
240.0 11.8827915743 451 6
245.0 11.9657654867 452 7
250.0 11.0802958115 382 7
255.0 17.6176005666 353 7
260.0 13.5270294118 374 7
265.0 12.9434065934 455 7
270.0 13.1518073593 462 7
275.0 11.1767148847 477 7
280.0 15.4235208333 528 7
285.0 12.0932991071 448 7
290.0 10.755377193 456 7
295.0 13.2606651163 430 7
300.0 15.7695894988 419 7
305.0 12.3744088889 450 7
310.0 12.9984061896 517 7
315.0 12.8286529517 559 7
320.0 13.538505597 536 8
325.0 14.281591954 522 8
330.0 15.3331706349 504 8
335.0 14.946854 500 8
340.0 15.0381190019 521 8
345.0 14.320268623 443 8
350.0 16.2637272727 528 8
355.0 11.8821694631 596 8
360.0 13.4200067416 445 9
365.0 16.8584603175 504 9
370.0 16.3470068027 294 9
375.0 0.315333333328 15 9
