0.0 0 0 6
5.0 8.29510454545 220 6
10.0 11.8455229358 436 6
15.0 11.6715027778 360 6
20.0 14.7343015385 325 6
25.0 20.8954300518 386 6
30.0 15.0537548077 416 6
35.0 11.7166018735 427 6
40.0 15.8874507042 355 6
45.0 8.97776033058 484 6
50.0 14.302434466 412 7
55.0 16.1159878345 411 7
60.0 15.980038961 385 7
65.0 15.0534300254 393 7
70.0 16.4809977324 441 7
75.0 14.1019387255 408 8
80.0 20.2191376344 465 8
85.0 14.67201566 447 9
90.0 9.25482683983 462 9
95.0 17.2955824847 491 9
100.0 10.7169638336 553 10
105.0 11.4706818182 528 11
110.0 16.5446923077 429 12
115.0 17.8387424 625 12
120.0 12.6113862179 624 14
125.0 13.8498303303 666 14
130.0 13.5890553459 795 14
135.0 14.2641543367 784 15
140.0 16.7255499398 831 16
145.0 20.0927279693 783 17
150.0 19.1910937881 821 18
155.0 10.5333933602 994 18
160.0 16.9120260465 1075 19
165.0 11.7546985726 1191 20
170.0 13.9474231643 1321 22
175.0 14.9446615646 1176 23
180.0 14.8596843191 1454 23
185.0 13.1733439532 1538 24
190.0 14.9831430438 1531 25
195.0 12.0555462229 1893 27
200.0 14.3635989933 1788 29
205.0 14.3646105834 2211 29
210.0 12.9751123077 1950 30
215.0 13.8482767454 1991 31
220.0 12.3598468085 1880 31
225.0 13.8192927144 3102 35
230.0 15.9318835419 2078 35
235.0 11.4342086649 2262 35
240.0 0.72710000001 30 37
245.0 0 0 37
