0.0 0
5.0 8.29510454545
10.0 11.8455229358
15.0 11.6715027778
20.0 14.7343015385
25.0 20.8954300518
30.0 15.0537548077
35.0 11.7166018735
40.0 15.8874507042
45.0 8.97776033058
50.0 14.302434466
55.0 16.1159878345
60.0 15.980038961
65.0 15.0534300254
70.0 16.4809977324
75.0 14.1019387255
80.0 20.2191376344
85.0 14.67201566
90.0 9.25482683983
95.0 17.2955824847
100.0 10.7169638336
105.0 11.4706818182
110.0 16.5446923077
115.0 17.8387424
120.0 12.6113862179
125.0 13.8498303303
130.0 13.5890553459
135.0 14.2641543367
140.0 16.7255499398
145.0 20.0927279693
150.0 19.1910937881
155.0 10.5333933602
160.0 16.9120260465
165.0 11.7546985726
170.0 13.9474231643
175.0 14.9446615646
180.0 14.8596843191
185.0 13.1733439532
190.0 14.9831430438
195.0 12.0555462229
200.0 14.3635989933
205.0 14.3646105834
210.0 12.9751123077
215.0 13.8482767454
220.0 12.3598468085
225.0 13.8192927144
230.0 15.9318835419
235.0 11.4342086649
240.0 0.72710000001
245.0 0
